Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Number_of_vehicles_involved,Number_of_casualties,Time,Accident_severity
Unknown,Male,Junior high school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Turnover,2,1,8:15:00,Fatal
31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,1,8:15:00,Fatal
Unknown,Female,Junior high school,Employee,Above 10yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,1,1,13:54:00,Fatal
18-30,Male,Junior high school,Employee,1-2yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,1,3,21:34:00,Fatal
18-30,Male,High school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Other,Not a Pedestrian,Changing lane to the left,1,3,21:34:00,Fatal
18-30,Male,Elementary school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Stopping,Not a Pedestrian,No priority to vehicle,1,3,21:34:00,Fatal
18-30,Male,High school,Owner,1-2yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Other,Not a Pedestrian,Driving at high speed,2,1,14:50:00,Fatal
Unknown,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Overtaking,2,1,14:50:00,Fatal
18-30,Male,Unknown,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Not a Pedestrian,Other,2,1,14:20:00,Fatal
18-30,Male,High school,Owner,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,1,14:20:00,Fatal
31-50,Male,High school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,1,1,15:28:00,Serious
Over 51,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,3,13:46:00,Serious
Over 51,Male,Elementary school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,3,13:46:00,Serious
Over 51,Male,High school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,3,13:46:00,Serious
Unknown,Male,Above high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,Changing lane to the left,2,1,13:50:00,Fatal
Under 18,Male,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Other,2,1,13:50:00,Fatal
31-50,Male,Junior high school,Employee,5-10yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,1,1,15:27:00,Serious
31-50,Male,Elementary school,Owner,5-10yr,Two-way (divided with broken lines road marking),No junction,Gravel roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward,2,1,8:29:00,Serious
Over 51,Male,Elementary school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,1,8:29:00,Serious
31-50,Male,High school,Owner,5-10yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,1,1,18:10:00,Fatal
Under 18,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Changing lane to the left,2,4,5:05:00,Fatal
Under 18,Male,Junior high school,Owner,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,4,5:05:00,Fatal
Under 18,Male,Junior high school,Employee,2-5yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the left,2,4,5:05:00,Fatal
18-30,Male,Junior high school,Owner,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown,Not a Pedestrian,Driving carelessly,2,4,5:05:00,Fatal
18-30,Male,Junior high school,Owner,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Driving carelessly,2,1,8:44:00,Fatal
Unknown,Female,High school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Cloudy,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to pedestrian,2,1,8:44:00,Fatal
18-30,Male,High school,Owner,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Getting off the vehicle improperly,1,1,17:30:00,Fatal
Unknown,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads with some distress,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,1,19:50:00,Fatal
18-30,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,1,19:50:00,Fatal
Under 18,Male,Elementary school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to vehicle,2,1,10:00:00,Fatal
Unknown,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,No distancing,2,1,10:00:00,Fatal
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,No priority to pedestrian,1,1,14:11:00,Serious
Under 18,Male,Unknown,Unknown,Unknown,Undivided Two way,Other,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,No priority to pedestrian,2,1,22:00:00,Fatal
Under 18,Male,Elementary school,Employee,Above 10yr,other,Other,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,No priority to vehicle,2,1,22:00:00,Fatal
Unknown,Female,Elementary school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving carelessly,2,4,23:00:00,Fatal
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Changing lane to the right,2,4,23:00:00,Fatal
18-30,Male,Elementary school,Owner,1-2yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Changing lane to the left,2,4,23:00:00,Fatal
18-30,Male,Junior high school,Owner,5-10yr,One way,No junction,Asphalt roads,Darkness - lights lit,Normal,Rollover,Entering a junction,Not a Pedestrian,Moving Backward,2,4,23:00:00,Fatal
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Entering a junction,Not a Pedestrian,Driving carelessly,2,4,23:00:00,Fatal
Unknown,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Driving to the left,3,1,8:10:00,Fatal
18-30,Male,High school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Driving to the left,3,1,8:10:00,Fatal
Unknown,Male,Junior high school,Employee,Above 10yr,other,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Entering a junction,Not a Pedestrian,No priority to pedestrian,3,1,8:10:00,Fatal
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - no lighting,Raining,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the left,2,1,20:34:00,Fatal
31-50,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - no lighting,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,1,20:34:00,Fatal
31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,1,14:50:00,Fatal
Under 18,Male,Junior high school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Rollover,Other,Not a Pedestrian,No distancing,2,1,14:50:00,Fatal
18-30,Male,Junior high school,Employee,1-2yr,other,Y Shape,Asphalt roads,Daylight,Cloudy,Rollover,Going straight,Not a Pedestrian,Getting off the vehicle improperly,1,2,16:40:00,Fatal
18-30,Male,Elementary school,Employee,1-2yr,other,Y Shape,Asphalt roads,Daylight,Cloudy,Collision with pedestrians,Going straight,Not a Pedestrian,Driving under the influence of drugs,1,2,16:40:00,Fatal
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,1,17:52:00,Fatal
Under 18,Male,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,1,17:52:00,Fatal
18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,1,1,19:07:00,Fatal
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Reversing,Not a Pedestrian,Turnover,2,1,10:10:00,Fatal
31-50,Male,Elementary school,Owner,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Moving Backward,Not a Pedestrian,Changing lane to the right,2,1,10:10:00,Fatal
18-30,Male,Elementary school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Overtaking,Not a Pedestrian,Driving carelessly,1,1,10:57:00,Serious
Unknown,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,1,1,13:14:00,Fatal
Unknown,Male,Unknown,Unknown,Unknown,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,2,1,15:15:00,Serious
Under 18,Male,High school,Owner,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left,2,1,15:15:00,Serious
Under 18,Male,Elementary school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overturning,1,1,15:00:00,Serious
Unknown,Male,Unknown,Unknown,Unknown,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,1,15:30:00,Serious
18-30,Male,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,1,15:30:00,Serious
Over 51,Male,High school,Owner,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Unknown or other,No distancing,3,1,23:30:00,Fatal
Over 51,Male,Junior high school,Employee,1-2yr,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left,3,1,23:30:00,Fatal
Unknown,Male,Junior high school,Employee,1-2yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,3,1,23:30:00,Fatal
Unknown,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,1,16:50:00,Fatal
Under 18,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,1,16:50:00,Fatal
31-50,Male,High school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Not a Pedestrian,Changing lane to the left,2,1,17:11:00,Fatal
31-50,Male,Junior high school,Employee,Above 10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,1,17:11:00,Fatal
Under 18,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Changing lane to the left,2,1,17:55:00,Fatal
31-50,Male,Junior high school,Employee,1-2yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,2,1,17:55:00,Fatal
18-30,Male,High school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,3,23:18:00,Fatal
18-30,Male,Junior high school,Employee,2-5yr,One way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,3,23:18:00,Fatal
18-30,Male,Junior high school,Employee,1-2yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,3,23:18:00,Fatal
Unknown,Female,Elementary school,Employee,5-10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,1,20:24:00,Fatal
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,1,20:24:00,Fatal
31-50,Male,Junior high school,Employee,1-2yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,1,1,13:07:00,Fatal
Unknown,Male,Elementary school,Other,5-10yr,Two-way (divided with broken lines road marking),T Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,3,1,8:05:00,Fatal
31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,T Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,3,1,8:05:00,Fatal
Unknown,Male,Elementary school,Employee,5-10yr,Unknown,T Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,3,1,8:05:00,Fatal
